===20240101更新by似水流年===
== 亚洲节目 ==,#genre#
香港-娱乐新闻,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571188&extension=ts
香港-有线新闻,http://2022.stream-link.org/tv/1403047386
香港-有线新闻,http://61.10.2.140/live_freedirect/freehd209_h.live/playlist.m3u8
香港-有线新闻,http://61.10.2.146/live_freedirect/freehd209_h.live/playlist.m3u8
香港-有线新闻,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/chunklist_w1949275579.m3u8
香港-有线新闻,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u8
香港-有线财经,http://2022.stream-link.org/tv/1653781679
香港-有线财经,http://61.10.2.140/live_freedirect/freehd208_h.live/playlist.m3u8
香港-有线,http://185.243.7.13/play/live.php?mac=00:1A:79:45:5E:9A&stream=153396&extension=ts&play_token=ICdnbP1fWe
香港-有线,http://61.10.2.140/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
香港-耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
香港-星河台,http://113.117.74.17:8081/hls/135/index.m3u8
香港-无线新闻,http://2022.stream-link.org/tv/797500227
香港-无线新闻,http://kkwk1122.top/tvvb.php?id=0
香港-无线新闻,http://kkwk1122.top/tvvb.php?id=0&hq
香港-无线财经,http://kkwk1122.top/tvvb.php?id=2
香港-无线财经,http://kkwk1122.top/tvvb.php?id=2&hq
香港-卫视中文,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=941624
香港-卫视电影,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=941625
香港-卫视,http://hw-play.lezhibo.com/live/bd2d26fd492b403d8ec69de1859bdb31.m3u8
香港-卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港-卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港-卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港-天映电影,http://210.210.155.37/dr9445/h/h14/index.m3u8
香港-明珠台,http://c-leung.homeip.net:8012/bysid/2
香港-明珠台,http://nas.jdshipin.com:8801/gudoufc.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1351_4500
香港-明珠台,http://r.jdshipin.com/GeWKr?id=mzt720
香港-明珠台,http://r.jdshipin.com/ZQ4kN
香港-明珠台,http://tv.beimua.com/tvs.php?id=17
香港-面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港-经典台,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571197&extension=ts
香港-华丽台,http://r.jdshipin.com/thuYX
香港-国际财经,http://2022.stream-link.org/tv/913715989
香港-公视台,http://198.16.100.90:8278/ctv_taiwan/playlist.m3u8?tid=MDCD6096520560965205&ct=19249&tsum=64237c7ffa0c00b62657a938247bcab0
香港-佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
香港-佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
香港-凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
香港-凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb24]/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1668336354&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
香港-凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/PLTV/1/224/3221231003/1.m3u8
香港-凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
香港-凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
香港-凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
香港-凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
香港-凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/TVOD/3/224/3221228524/index.m3u8?icpid=3&amp;RTS=1674373416&amp;from=40&amp;popid=40&amp;hms_devid=2293&amp;prioritypopid=40&amp;vqe=3
香港-凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
香港-凤凰资讯,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226274/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226274/index.m3u8
香港-凤凰资讯,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002187/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
香港-凤凰资讯,http://113.117.74.18:8081/hls/36/index.m3u8
香港-凤凰资讯,http://kkwk1122.top/fh.php?id=fhzx
香港-凤凰资讯,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEEWQKN4/timeshift.m3u8?txKbps=702&delay=1
香港-凤凰资讯,http://playtimeshift-live.ifeng.com:80/timeshift/live/06OLEEWQKN4/timeshift.m3u8?txKbps=702&delay=300
香港-凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
香港-凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
香港-凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
香港-凤凰资讯,http://r.jdshipin.com/0Rp07
香港-凤凰资讯,http://tv.beimua.com/tvs.php?id=2
香港-凤凰资讯,https://epg.pw/stream/feef91f40b85dafbfec7b968db0c1fc20f8fafdbbef2dfd751cfbcfd51f6ea5d.m3u8
香港-凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
香港-凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
香港-凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
香港-凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/PLTV/1/224/3221231022/1.m3u8
香港-凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
香港-凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
香港-凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
香港-凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb27]/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
香港-凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb27]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1668336154&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
香港-凤凰中文,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226248/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226248/index.m3u8
香港-凤凰中文,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002275/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
香港-凤凰中文,http://113.117.74.17:8081/hls/37/index.m3u8
香港-凤凰中文,http://kkwk1122.top/fh.php?id=fhzw
香港-凤凰中文,http://nas.jdshipin.com:8801/gudoufc.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=fhzw_1500
香港-凤凰中文,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEGEGM4G/timeshift.m3u8?txKbps=702&delay=1
香港-凤凰中文,http://playtimeshift-live.ifeng.com:80/timeshift/live/06OLEGEGM4G/timeshift.m3u8?txKbps=702&delay=300
香港-凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
香港-凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
香港-凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
香港-凤凰中文,http://r.jdshipin.com/cCCzW
香港-凤凰中文,http://tv.beimua.com/tvs.php?id=11
香港-凤凰中文,https://epg.pw/stream/9d3ae35ac5340698211b15afabadf8d01cadfd8f2e804854fe854eb39412924a.m3u8
香港-凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
香港-凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]/ott.mobaibox.com/PLTV/3/224/3221228530/1.m3u8
香港-凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
香港-凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb1d]:80/PLTV/1/224/3221231041/1.m3u8
香港-凤凰香港,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226251/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226251/index.m3u8
香港-凤凰香港,http://113.117.74.18:8081/hls/38/index.m3u8
香港-凤凰香港,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226251/index.m3u8
香港-凤凰香港,http://kkwk1122.top/fh.php?id=fhhk
香港-凤凰香港,http://zb.688768.xyz/jiudian/jddb.php?member=liubwdefd34&playurl=http://120.84.96.42:808/hls/81/index.m3u8
香港-翡翠台,http://120.84.96.103:808/hls/86/index.m3u8
香港-翡翠台,http://2022.stream-link.org/tv/1245920974
香港-翡翠台,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571187&extension=ts
香港-翡翠台,http://c-leung.homeip.net:8011/bysid/1
香港-翡翠台,http://nas.jdshipin.com:8801/gudoufc.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1350_4500
香港-翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
香港-翡翠台,http://r.jdshipin.com/62WM7
香港-翡翠台,http://r.jdshipin.com/62WM7#http://r.jdshipin.com/qClQf#http://2022.stream-link.org/tv/992054131
香港-翡翠台,http://r.jdshipin.com/GeWKr?id=fct720
香港-翡翠台,http://r.jdshipin.com/n90gt
香港-翡翠台,http://r.jdshipin.com/qClQf
香港-翡翠台,http://r.jdshipin.com/qrfbg
香港-翡翠台,http://tv.beimua.com/tvs.php?id=16
香港-翡翠台,https://epg.pw/stream/1fbab856b95f1ee5eed372ecef4a3c30b658c4e39a73734f0292ce7635ac0248.ctv
香港-电影台,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
香港-ViuTV6,http://50.7.238.114:8278/viusix_twn/playlist.m3u8?tid=MD7D9950629799506297&ct=19234&tsum=83ba3013be3e325b775bcd348b38eab1
香港-ViuTV6,http://c-leung.homeip.net:8011/bysid/96
香港-ViuTV6,https://cdn.hklive.tv/xxxx/96/index.m3u8
